algorithm_name,result,algorithm_cat
assortativity_wei,0.036860508624000164,CORE
assortativity_bin,0.019147671492902595,CORE
breadth_distance_matrix,breadth_distance.csv,BFS
weighted_distance_matrix,weighted_shortest_paths.csv,Dijkstra
floyd_shortest_paths_spl_matrix,floyd_shortest_paths_spl.csv,Floyd
floyd_shortest_paths_hops_matrix,floyd_shortest_paths_hops.csv,Floyd
floyd_shortest_paths_pmat_matrix,floyd_shortest_paths_pmat.csv,Floyd
betweenness_wei,NaN,Centrality
agreement_wei,NaN,Clustering
betweenness_bin,NaN,Clustering
clustering_coef_wu,clustering_coef.csv,Clustering
backbone_wu,NaN,Visualization
rich_club,NaN,Vector of rich club coefficients
NaN,NaN,NaN
NaN,NaN,NaN
